,kcat,MW,kcat_MW
R118,502.85,4609367.828400017,392.73498392693244
R119_num1,196.66666666666666,66485.86720000012,10648.879676491588
R121,502.85,117590.35590000065,15394.629824400336
R122,6123.455026703805,82982.13830000011,265652.8085169103
R124,6123.455026703805,52430.235200000054,420452.77905092586
R125,6123.455026703805,52430.235200000054,420452.77905092586
R127,502.85,117590.35590000065,15394.629824400336
R128,23.88285,49621.82870000006,1732.6701222520626
R129,33.334749375,39507.87849999997,3037.4978942491202
R130_num1,2.768333333333333,90680.03930000057,109.90290781667026
R131_num1,2.768333333333333,90680.03930000057,109.90290781667026
R132,6123.455026703805,35271.91760000005,624985.5294551285
R133_num1,194.0,35271.91760000005,19800.45451228881
R134_num1,7.315478461538461,20629.300799999994,1276.6173084033205
R135,6.331666666666667,64438.408500000165,353.7331310719746
R136,6.331666666666667,64438.408500000165,353.7331310719746
R137,6.331666666666667,64438.408500000165,353.7331310719746
R139_num1,15.821083333353334,58584.61250000017,972.1989711901199
R140,1.10580869375,57112.09910000009,69.7034666950281
R141,7.798333333333333,51170.454000000034,548.6369145757429
R142_num1,3.514,35100.806800000006,360.4019722988247
R143,175.0845,64624.97730000024,9753.259905593772
R145,48.2,234572.9854999999,739.7271242898516
R146_num1,31.06780487804878,53406.40820000009,2094.2074430868656
R147,18.780714285714286,65191.2394000003,1037.1113059183704
R148_num1,6123.455026703805,65768.73510000021,335181.1170249134
R149,189.63107142857143,44980.57370000011,15177.037573952854
R150,131.68615625,55013.186900000095,8617.391378575076
R151,89.57619551724137,53411.98780000007,6037.489281798805
R152_num1,6123.455026703805,198215.66399999938,111214.40985680005
R153_num1,6123.455026703805,44658.27289999998,493624.95825792913
R155_num1,41.88115384615384,53147.119700000054,2836.882877138376
R156,31.765,80429.83220000037,1421.7858830743585
R157,314.39846666666665,101901.4705000006,11107.14570110147
R158_num1,36.06780487804878,41423.505600000055,3134.5511607538942
R159,15.053333333333333,59761.22800000018,906.8086753505105
R160_num1,2860.0,49592.202300000085,207613.28439733322
R161_num1,6123.455026703805,39350.48770000008,560207.4938485109
R163_num1,457.3137608695652,38466.64729999998,42798.883050315526
R164_num1,6123.455026703805,71273.94110000036,309291.69561711786
R165_num1,6.545606666666667,104419.89050000069,225.66758006703563
R166_num1,77.71816428571428,81453.52870000046,3434.9081727206967
R167_num1,77.71816428571428,81453.52870000046,3434.9081727206967
R168_num1,3.1071666666666666,63921.05640000019,174.99397897935816
R169_num1,3.1071666666666666,63921.05640000019,174.99397897935816
R170_num1,4.4967,62663.391900000206,258.3345635970903
R171,4.499881333333334,72199.86360000026,224.37123828582887
